"filename", "language", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"e:\Licenta\licenta-app\src\AboutPage.css", "CSS", 0, 81, 0, 7, 12, 100
"e:\Licenta\licenta-app\src\AboutPage.js", "JavaScript", 80, 0, 0, 0, 6, 86
"e:\Licenta\licenta-app\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\Licenta\licenta-app\src\App.js", "JavaScript", 14, 0, 0, 0, 5, 19
"e:\Licenta\licenta-app\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"e:\Licenta\licenta-app\src\ContactPage.css", "CSS", 0, 68, 0, 6, 7, 81
"e:\Licenta\licenta-app\src\ContactPage.js", "JavaScript", 102, 0, 0, 1, 8, 111
"e:\Licenta\licenta-app\src\ControlPanel.js", "JavaScript", 185, 0, 0, 0, 5, 190
"e:\Licenta\licenta-app\src\ControlValidate.js", "JavaScript", 118, 0, 0, 17, 23, 158
"e:\Licenta\licenta-app\src\ControlpanelPage.css", "CSS", 0, 127, 0, 1, 18, 146
"e:\Licenta\licenta-app\src\ControlpanelPage.js", "JavaScript", 89, 0, 0, 8, 4, 101
"e:\Licenta\licenta-app\src\FaqPage.css", "CSS", 0, 29, 0, 2, 4, 35
"e:\Licenta\licenta-app\src\FaqPage.js", "JavaScript", 100, 0, 0, 0, 5, 105
"e:\Licenta\licenta-app\src\FormSignup.js", "JavaScript", 167, 0, 0, 0, 5, 172
"e:\Licenta\licenta-app\src\LoginPage.css", "CSS", 0, 64, 0, 5, 9, 78
"e:\Licenta\licenta-app\src\LoginPage.js", "JavaScript", 126, 0, 0, 5, 12, 143
"e:\Licenta\licenta-app\src\MainPage.css", "CSS", 0, 152, 0, 20, 8, 180
"e:\Licenta\licenta-app\src\MainPage.js", "JavaScript", 146, 0, 0, 7, 8, 161
"e:\Licenta\licenta-app\src\NavbarHeader.js", "JavaScript", 118, 0, 0, 1, 8, 127
"e:\Licenta\licenta-app\src\PageFooter.js", "JavaScript", 86, 0, 0, 0, 4, 90
"e:\Licenta\licenta-app\src\SignupPage.css", "CSS", 0, 110, 0, 7, 16, 133
"e:\Licenta\licenta-app\src\SignupPage.js", "JavaScript", 86, 0, 0, 10, 5, 101
"e:\Licenta\licenta-app\src\ValidateForm.js", "JavaScript", 103, 0, 0, 15, 21, 139
"e:\Licenta\licenta-app\src\index.css", "CSS", 0, 146, 0, 24, 9, 179
"e:\Licenta\licenta-app\src\index.js", "JavaScript", 29, 0, 0, 1, 2, 32
"e:\Licenta\licenta-app\src\mainpagePic.html", "HTML", 0, 0, 2517, 53, 368, 2938
"e:\Licenta\licenta-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"e:\Licenta\licenta-app\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 1569, 777, 2517, 194, 578, 5635
